scan_id,customer_id,scan_date,height_cm,weight_kg,chest_cm,waist_cm,hips_cm,shoulder_cm,sleeve_cm,inseam_cm,neck_cm,scan_status
1,1,2026-06-10 11:05:45,182.0,82.5,102.0,86.0,98.0,46.0,65.0,81.0,39.0,completed
2,2,2026-06-10 11:05:45,165.0,58.0,88.0,68.0,92.0,38.0,58.0,74.0,33.0,completed
3,3,2026-06-10 11:05:45,178.0,88.0,108.0,92.0,102.0,48.0,67.0,82.0,41.0,completed
4,4,2026-06-10 11:05:45,162.0,55.0,84.0,64.0,90.0,36.0,56.0,72.0,32.0,completed
5,5,2026-06-10 11:05:45,175.0,78.0,98.0,82.0,96.0,44.0,63.0,79.0,38.0,completed
6,6,2026-06-10 11:05:45,168.0,62.0,90.0,72.0,94.0,39.0,59.0,75.0,34.0,completed
7,7,2026-06-10 11:05:45,180.0,85.0,104.0,88.0,100.0,47.0,66.0,80.0,40.0,completed
8,8,2026-06-10 11:05:45,160.0,52.0,82.0,62.0,88.0,35.0,55.0,71.0,31.0,completed
9,9,2026-06-10 11:05:45,176.0,80.0,100.0,84.0,97.0,45.0,64.0,80.0,39.0,completed
10,10,2026-06-10 11:05:45,163.0,57.0,86.0,66.0,91.0,37.0,57.0,73.0,33.0,completed
