order_id,customer_id,tailor_id,scan_id,garment_type,order_date,delivery_date,total_amount,currency
1,1,1,1,Business Suit,2026-06-10 11:05:45,2025-02-15,850.0,USD
2,2,3,2,Evening Dress,2026-06-10 11:05:45,2025-02-20,650.0,USD
3,3,2,3,Wedding Suit,2026-06-10 11:05:45,2025-03-01,1200.0,USD
4,4,3,4,Cocktail Dress,2026-06-10 11:05:45,2025-02-28,550.0,USD
5,5,1,5,Business Suit,2026-06-10 11:05:45,2025-03-10,900.0,USD
6,6,4,6,Formal Dress,2026-06-10 11:05:45,2025-03-05,600.0,USD
7,7,2,7,Tuxedo,2026-06-10 11:05:45,2025-03-15,1100.0,USD
8,8,3,8,Summer Dress,2026-06-10 11:05:45,2025-02-25,450.0,USD
9,9,1,9,Casual Suit,2026-06-10 11:05:45,2025-03-20,750.0,USD
10,10,4,10,Party Dress,2026-06-10 11:05:45,2025-03-08,500.0,USD
